asin,url,brand,product_title,category,format_size,unit_ml,pack_count,price_cad,ss_offered,ss_pct,coupon_value_cad,promo_text,flavours,caffeine_mg,sodium_mg,potassium_mg,sugar_g,calories,sweetener,claims,star_rating,num_ratings,badge,bsr
,,Sparkling Ice,Sparkling Ice (+ Antioxidants & Vitamins),1,503 mL bottle,503,,,,,,,"Black Raspberry, Cherry Limeade, Orange Mango, Kiwi Strawberry, Coconut Pineapple, Classic Lemonade",0,0,30,0,5,Sucralose,"Zero sugar, vitamins A/D/B, antioxidants (green tea), bold flavour",,,,
,,BUBBL'R,BUBBL'R Antioxidant Sparkling Water,1,473 mL can,473,,,,,,,"Blackberribrilliance, Strawbeary Lemonade, Tropic'b'r, Raspberry Lemonade, Blue Crush'r",69,15,Not listed,0,10,Erythritol + stevia,"Natural caffeine (69 mg), antioxidants, B-vitamins, zero sugar",,,,
,,Phocus,Phocus Caffeinated Sparkling Water,1,350 mL can,350,,,,,,,"Grapefruit, Yuzu Lime, Cucumber, Black Cherry, Natural, Lemon",75,0,Not listed,0,0,None (natural flavours),"75 mg caffeine + L-theanine for smooth focus, zero sugar/calorie",,,,
,,Aura Bora,Aura Bora Herbal Sparkling Water,1,355 mL can,355,,,,,,,"Lavender Cucumber, Basil Berry, Lemongrass Coconut, Cactus Rose, Peppermint Watermelon",0,0,Not listed,0,5,None (herbal extracts),"Herb/flower/fruit flavours, zero sugar, calm/unique sensory",,,,
,,Sound,Sound Sparkling Water (Tea/Botanical),1,355 mL can,355,,,,,,,"Blackberry + Lemon Verbena, Grapefruit + Hops, Lemon Ginger, Cucumber + Mint Green Tea",15,0,Not listed,0,0,None (unsweetened),"Real brewed tea/botanicals, unsweetened, zero sugar/calorie",,,,
,,Halo Sport,Halo Sport Sparkling Electrolyte Water,1,355 mL can,355,,,,,,,"Lemon Lime, Berry, Orange, Grapefruit",0,110,40,0,5,Stevia,"Sparkling electrolytes, zero sugar, light hydration",,,,
,,Gorgie,Gorgie Energy Sparkling Water,1,355 mL can,355,,,,,,,"Watermelon, Tropical, Strawberry Lemonade, Cherry Limeade",120,10,Not listed,0,10,Stevia,"120 mg natural caffeine, L-theanine, biotin, zero sugar",,,,
,,United Sodas,United Sodas of America,1,355 mL can,355,,,,,,,"Wild Berry, Black Cherry, Mango Chili, Lemon Lime, Peach Vanilla",0,10,Not listed,8,30,Cane sugar (small amount),"Low calorie, light sparkling soda, minimalist branding",,,,
,,Sparkling Ice,Sparkling Ice +Caffeine,1,473 mL can,473,,,,,,,"Black Raspberry, Citrus Twist, Orange Passionfruit, Strawberry Citrus, Triple Citrus",70,25,Not listed,0,5,Sucralose,"70 mg caffeine, vitamins, antioxidants, zero sugar",,,,
,,Gatorade,Gatorade Thirst Quencher,2,591 mL bottle,591,,,,,,,"Cool Blue, Fruit Punch, Glacier Freeze, Lemon-Lime, Orange, Riptide Rush",0,270,75,34,140,Sugar + dextrose,"Rehydrate, replenish electrolytes, sports performance",,,,
,,Gatorade,Gatorade Zero Sugar,2,591 mL bottle,591,,,,,,,"Glacier Cherry, Lemon-Lime, Orange, Berry, Glacier Freeze",0,270,75,0,5,Sucralose + acesulfame-K,"Same electrolytes, zero sugar",,,,
,,Powerade,Powerade Mountain Berry Blast,2,591 mL bottle,591,,,,,,,"Mountain Berry Blast, Fruit Punch, Grape, White Cherry, Lemon-Lime",0,250,70,35,130,High-fructose corn syrup,"ION4 electrolytes, B-vitamins, hydration",,,,
,,Powerade,Powerade Zero,2,591 mL bottle,591,,,,,,,"Mixed Berry, Fruit Punch, Grape, White Cherry",0,250,35,0,0,Sucralose + acesulfame-K,"Zero sugar/calorie, ION4 electrolytes, vitamins",,,,
,,BODYARMOR,BODYARMOR Sports Drink,2,473 mL bottle,473,,,,,,,"Fruit Punch, Strawberry Banana, Orange Mango, Mixed Berry, Tropical Punch",0,30,680,29,120,Cane sugar,"Potassium-packed electrolytes, coconut water, vitamins, no artificial",,,,
,,BODYARMOR,BODYARMOR LYTE,2,473 mL bottle,473,,,,,,,"Blueberry Pomegranate, Peach Mango, Tropical Coconut, Berry Punch",0,30,350,3,20,Stevia + erythritol,"Low sugar, potassium electrolytes, coconut water, vitamins",,,,
,,Prime,Prime Hydration,2,500 mL bottle,500,,,,,,,"Blue Raspberry, Tropical Punch, Ice Pop, Lemon Lime, Strawberry Watermelon, Meta Moon",0,30,700,2,25,Sucralose + acesulfame-K,"Zero sugar, BCAAs, electrolytes, coconut water, vitamins",,,,
,,Roar Organic,Roar Organic Electrolyte Infusions,2,532 mL bottle,532,,,,,,,"Cucumber Watermelon, Mango Clementine, Blueberry Acai, Georgia Peach",0,45,100,2,10,Stevia + erythritol,"Coconut-water electrolytes, antioxidants, B-vitamins, low sugar, organic",,,,
,,BioSteel,BioSteel Sports Drink (RTD),2,500 mL bottle,500,,,,,,,"Blue Raspberry, White Freeze, Rainbow Twist, Mixed Berry, Peach Mango",0,230,225,0,10,Stevia Leaf Extract,"5 essential electrolytes (Na/K/Ca/Mg/Sea Salt), zero sugar, plant-based sweetener, vegan, non-GMO, caffeine-free; made in Canada",,,,
,,CWENCH,CWENCH Hydration,2,500 mL bottle,500,,,,,,,"Blue Raspberry, Fruit Punch, Green Apple, Watermelon, Peach",0,200,100,0,15,Sucralose,"Zero sugar, electrolytes, vitamins; Canadian challenger brand",,,,
,,Pedialyte,Pedialyte Electrolyte Solution,2,1 L bottle,1000,,,,,,,"Unflavored, Fruit, Grape, Strawberry, Mixed Fruit",0,1035,780,25,100,Dextrose + sucralose + acesulfame-K,"Medical-grade rehydration, dehydration relief (values per 1 L; ~370 mg sodium per 12 oz serving)",,,,
,,Gatorade,Gatorlyte Rapid Rehydration,2,591 mL bottle,591,,,,,,,"Orange, Cherry Lime, Glacier Cherry, Strawberry Kiwi",0,490,350,12,50,Sugar + sucralose,"5 electrolytes, rapid rehydration, specialized formula",,,,
,,Vita Coco,Vita Coco Pure Coconut Water,2,330 mL carton,330,,,,,,,"Original, Pineapple, Peach Mango, The Original (Pressed)",0,25,470,11,45,None (naturally occurring),"Natural electrolytes, potassium, no added sugar (Original)",,,,
,,Electrolit,Electrolit Hydration Beverage,2,625 mL bottle,625,,,,,,,"Strawberry-Kiwi, Fruit Punch, Watermelon, Coconut, Blue Raspberry, Grape",0,270,200,24,100,Cane sugar + glucose,"Magnesium + calcium + sodium + potassium, fast rehydration",,,,
,,Gatorade,Gatorade Fit Electrolyte Beverage,2,591 mL bottle,591,,,,,,,"Tropical Mango, Blue Citrus, Strawberry Watermelon, Watermelon Strawberry",0,200,80,0,5,Stevia,"No added sugar, naturally sweetened, electrolytes + vitamins A & C",,,,
,,Propel,Propel Electrolyte Water,2,591 mL bottle,591,,,,,,,"Berry, Grape, Kiwi Strawberry, Watermelon, Lemon, Black Cherry",0,150,40,0,5,Sucralose + acesulfame-K,"Electrolytes + vitamins, zero sugar, fitness water",,,,
,,Essentia,Essentia Ionized Alkaline Water,2,1 L bottle,1000,,,,,,,Original (pH 9.5),0,10,Not listed,0,0,None,"Ionized alkaline pH 9.5, electrolytes for taste, hydration",,,,
,,Smartwater,Smartwater Alkaline,2,1 L bottle,1000,,,,,,,"Alkaline pH 9+, Original",0,0,Not listed,0,0,None,"Vapor-distilled, added electrolytes / alkaline variant",,,,
,,Gatorade,Gatorade G2 Low Sugar,2,591 mL bottle,591,,,,,,,"Glacier Freeze, Fruit Punch, Grape, Lemon-Lime",0,270,75,7,30,Sugar + sucralose,"Same electrolytes, lower sugar",,,,
,,Mas+,Mas+ by Messi Hydration,2,473 mL bottle,473,,,,,,,"Limon, Berry, Orange, Tropical",0,200,100,4,20,Cane sugar + stevia,"Electrolytes, low sugar, vitamins; Messi-backed",,,,
,,Pedialyte,Pedialyte Sport,2,495 mL bottle,495,,,,,,,"Berry, Fruit Punch, Cherry",0,490,350,11,45,Sugar + sucralose,High-electrolyte rapid rehydration for athletes,,,,
,,OLIPOP,OLIPOP Prebiotic Soda,3,355 mL can,355,,,,,,,"Vintage Cola, Classic Root Beer, Cherry Cola, Strawberry Vanilla, Orange Squeeze, Ginger Ale, Doctor Goodwin, Lemon Lime, Watermelon Lime",0,30,Not listed,4,45,Stevia + cassava syrup,"9 g prebiotic fiber, gut/digestive health, low sugar (Vintage/Cherry Cola & Doctor Goodwin ~50 mg caffeine, Ridge Rush ~60 mg; other flavours caffeine-free)",,,,
,,Poppi,Poppi Prebiotic Soda,3,355 mL can,355,,,,,,,"Strawberry Lemon, Raspberry Rose, Classic Cola, Cherry Limeade, Orange, Grape, Watermelon, Ginger Lime, Doc Pop, Root Beer",0,10,Not listed,5,25,Agave + stevia,"Prebiotic, apple cider vinegar, gut health, low sugar (cola/Doc Pop flavours ~40 mg caffeine from green tea; fruit flavours caffeine-free)",,,,
,,Culture Pop,Culture Pop Probiotic Soda,3,355 mL can,355,,,,,,,"Ginger Lemon, Wild Berry, Orange Mango, Lime Watermelon, Cherry Pomegranate",0,15,Not listed,9,40,Fruit juice + a touch of cane,"Live probiotics, real juice, gut health, no stevia",,,,
,,Mayawell,Mayawell Prebiotic Soda,3,355 mL can,355,,,,,,,"Strawberry Hibiscus, Prickly Pear, Mango Chili, Grapefruit Jalapeno",0,20,Not listed,6,40,Agave inulin,"Prebiotic agave fiber, gut health, low sugar, Latino-owned",,,,
,,De La Calle,De La Calle Tepache,3,355 mL can,355,,,,,,,"Tamarindo, Mango Chili, Original, Guava, Pineapple Spice",0,15,Not listed,6,45,Fermented pineapple + agave,"Fermented prebiotic tepache, gut health, low sugar",,,,
,,GT's,GT's Synergy Raw Kombucha,3,480 mL bottle,480,,,,,,,"Trilogy, Gingerade, Gingerberry, Strawberry Lemonade, Cosmic Cranberry",14,10,Not listed,12,50,Naturally fermented (residual),"Raw kombucha, 9 billion probiotics per bottle, gut health",,,,
,,Health-Ade,Health-Ade Kombucha,3,473 mL bottle,473,,,,,,,"Pink Lady Apple, Pomegranate, Ginger Lemon, Bubbly Rose, California Grape",15,10,Not listed,7,35,Naturally fermented (residual),"Probiotics, organic, gut health, glass-bottle quality",,,,
,,Remedy,Remedy Kombucha,3,250 mL can,250,,,,,,,"Raspberry Lemonade, Ginger Lemon, Peach, Cherry Plum, Passionfruit",10,5,Not listed,0,8,None (sugar-free fermented),"Sugar-free kombucha, live cultures, organic acids",,,,
,,Recess,Recess Mood,3,355 mL can,355,,,,,,,"Blackberry Chai, Pomegranate Hibiscus, Blood Orange, Black Cherry, Coconut Lime",0,10,Not listed,1,25,Agave + stevia,"Adaptogens + magnesium + L-theanine, calm/de-stress",,,,
,,Protein2o,Protein2o Protein Infused Water,3,500 mL bottle,500,,,,,,,"Wild Cherry, Mixed Berry, Tropical Coconut, Peach Mango, Blueberry Raspberry",0,120,Not listed,1,70,Sucralose + acesulfame-K,"15 g whey protein isolate, electrolytes, low calorie",,,,
,,vitaminwater,vitaminwater (glaceau),3,591 mL bottle,591,,,,,,,"XXX Acai-Blueberry-Pomegranate, Power-C Dragonfruit, Focus Kiwi-Strawberry, Energy Tropical Citrus",0,0,Not listed,27,100,Cane sugar + crystalline fructose,"Added vitamins (B, C), function-by-flavour (Energy flavour ~60 mg caffeine; other flavours caffeine-free)",,,,
,,vitaminwater,vitaminwater zero sugar,3,591 mL bottle,591,,,,,,,"XXX, Power-C, Squeezed Lemonade, Rise Orange",0,0,Not listed,0,0,Stevia + erythritol,"Vitamins, zero sugar",,,,
,,Bai,Bai Antioxidant Infusion,3,530 mL bottle,530,,,,,,,"Brasilia Blueberry, Costa Rica Clementine, Molokai Coconut, Ipanema Pomegranate",55,10,Not listed,1,10,Erythritol + stevia,"Antioxidants (coffeefruit + white tea), vitamin C, low sugar, low calorie",,,,
,,Hint,Hint Water (fruit-infused),3,473 mL bottle,473,,,,,,,"Watermelon, Blackberry, Cherry, Pineapple, Peach, Crisp Apple",0,0,Not listed,0,0,None (fruit essence only),"Zero sweetener, zero sugar, zero calorie, just fruit essence",,,,
,,wildwonder,wildwonder Sparkling Prebiotic+Probiotic,3,355 mL can,355,,,,,,,"Strawberry Passion, Peach Ginger, Raspberry Rose, Lemon Elderflower, Pineapple Mango",0,15,Not listed,6,45,Cane sugar + chicory inulin,"Prebiotics + probiotics, organic botanicals, gut health, low sugar",,,,
